"Year","Category","Value"
2000,"A",38981.0833333333
2000,"B",38755.8333333333
2000,"C",21750.4166666667
2000,"D",1351.5
2000,"E",40179.3333333333
2001,"A",27031.7916666667
2001,"B",28215.8333333333
2001,"C",19235.4583333333
2001,"D",830.958333333333
2001,"E",28660.0833333333
2002,"A",30831.9166666667
2002,"B",31944.125
2002,"C",19524.625
2002,"D",249.291666666667
2002,"E",32331
2003,"A",28754.875
2003,"B",28618
2003,"C",10514.25
2003,"D",231.75
2003,"E",29242.9166666667
2004,"A",25180.9166666667
2004,"B",25202.875
2004,"C",7835.41666666667
2004,"D",588.083333333333
2004,"E",25680.7083333333
2005,"A",16550.7916666667
2005,"B",15708.875
2005,"C",6468.625
2005,"D",620.541666666667
2005,"E",16920.7083333333
2006,"A",11187.1666666667
2006,"B",12429.5833333333
2006,"C",7641.75
2006,"D",852.958333333333
2006,"E",12571.7916666667
2007,"A",14101.125
2007,"B",15936.2083333333
2007,"C",6887.04166666667
2007,"D",1107.625
2007,"E",16489.5
2008,"A",12330.2916666667
2008,"B",13411.7083333333
2008,"C",13012.125
2008,"D",1234.125
2008,"E",14353.4583333333
2009,"A",11600.0416666667
2009,"B",12412.2916666667
2009,"C",11940.8333333333
2009,"D",897.125
2009,"E",13302.3333333333
2010,"A",30404.75
2010,"B",39834.125
2010,"C",29788.4583333333
2010,"D",1308.75
2010,"E",41423.7916666667
2011,"A",48206.25
2011,"B",64937.7083333333
2011,"C",31885.2083333333
2011,"D",2098
2011,"E",66047.4583333333
2012,"A",63898.0416666667
2012,"B",84430.5833333333
2012,"C",55149.875
2012,"D",1835.5
2012,"E",86000.9166666667
2013,"A",74690
2013,"B",78711.5416666667
2013,"C",60342.1666666667
2013,"D",1757.125
2013,"E",80278.3333333333
2014,"A",67675.3333333333
2014,"B",73281.5416666667
2014,"C",50764.2083333333
2014,"D",4026.625
2014,"E",73436.0833333333
2015,"A",60601.1666666667
2015,"B",66851.0833333333
2015,"C",50467.4583333333
2015,"D",6106.83333333333
2015,"E",67813.75
2016,"A",49586.75
2016,"B",52122.1666666667
2016,"C",46945.75
2016,"D",6368
2016,"E",52523.2916666667
2017,"A",45990.6666666667
2017,"B",51800.2083333333
2017,"C",43909.4583333333
2017,"D",6129.79166666667
2017,"E",51873.8333333333
2018,"A",33037.5833333333
2018,"B",35345.2083333333
2018,"C",31827.625
2018,"D",5930.20833333333
2018,"E",35693.125
2019,"A",29906.9166666667
2019,"B",38814.9166666667
2019,"C",26310.9166666667
2019,"D",3614.5
2019,"E",40617.625
2020,"A",35403.6111111111
2020,"B",38155.1111111111
2020,"C",27507.9444444445
2020,"D",6380.22222222222
2020,"E",38405.3888888889
2021,"A",47424.5833333333
2021,"B",61222.5
2021,"C",40527
2021,"D",8585.375
2021,"E",63726.8333333333
2022,"A",75808.9583333333
2022,"B",100946.416666667
2022,"C",58394.125
2022,"D",10945.1666666667
2022,"E",102752.666666667
2023,"A",94537.5
2023,"B",121800.583333333
2023,"C",80533.0833333333
2023,"D",10773.7083333333
2023,"E",125418.25
2024,"A",84020.3
2024,"B",100239.5
2024,"C",70431.8
2024,"D",9451.7
2024,"E",101430.7
