"Year","Total Residents","Total Male Residents","Total Female Residents","Total Malays","Total Male Malays","Total Female Malays","Total Chinese","Total Male Chinese","Total Female Chinese","Total Indians","Total Male Indians","Total Female Indians","Other Ethnic Groups (Total)","Other Ethnic Groups (Males)","Other Ethnic Groups (Females)"
"2023","4,149,253","2,021,902","2,127,351","561,331","279,017","282,314","3,072,311","1,489,028","1,583,283","374,863","190,916","183,947","140,748","62,941","77,807"
"2022","4,073,239","1,990,212","2,083,027","554,110","275,876","278,234","3,018,951","1,466,366","1,552,585","366,405","187,515","178,890","133,773","60,455","73,318"
"2021","3,986,842","1,953,114","2,033,728","544,452","271,743","272,709","2,960,135","1,440,854","1,519,281","354,885","182,594","172,291","127,370","57,923","69,447"
"2020","4,044,210","1,977,556","2,066,654","545,498","271,332","274,166","3,006,769","1,461,344","1,545,425","362,274","185,565","176,709","129,669","59,315","70,354"
"2019","4,026,209","1,969,382","2,056,827","540,783","268,933","271,850","2,993,708","1,455,708","1,538,000","362,637","185,343","177,294","129,081","59,398","69,683"
"2018","3,994,283","1,955,838","2,038,445","535,824","266,486","269,338","2,969,281","1,445,375","1,523,906","360,528","184,496","176,032","128,650","59,481","69,169"
"2017","3,965,796","1,943,545","2,022,251","530,710","263,912","266,798","2,948,252","1,436,284","1,511,968","358,821","183,818","175,003","128,013","59,531","68,482"
"2016","3,933,559","1,929,526","2,004,033","525,888","261,564","264,324","2,923,172","1,425,244","1,497,928","356,876","182,935","173,941","127,623","59,783","67,840"
"2015","3,902,690","1,916,628","1,986,062","520,923","259,108","261,815","2,900,007","1,415,303","1,484,704","354,952","182,304","172,648","126,808","59,913","66,895"
"2014","3,870,739","1,902,410","1,968,329","516,657","257,036","259,621","2,874,380","1,403,927","1,470,453","353,021","181,359","171,662","126,681","60,088","66,593"
"2013","3,844,751","1,891,504","1,953,247","512,837","255,176","257,661","2,853,751","1,395,183","1,458,568","351,667","180,889","170,778","126,496","60,256","66,240"
"2012","3,818,205","1,880,046","1,938,159","509,519","253,578","255,941","2,831,984","1,385,606","1,446,378","351,025","180,948","170,077","125,677","59,914","65,763"
"2011","3,789,251","1,868,170","1,921,081","506,637","252,227","254,410","2,808,254","1,375,665","1,432,589","349,036","180,548","168,488","125,324","59,730","65,594"
"2010","3,771,721","1,861,133","1,910,588","503,868","250,885","252,983","2,793,980","1,370,083","1,423,897","348,119","180,327","167,792","125,754","59,838","65,916"
